"1 규모(5 ~ 9인)","대졸이상","남","30 ~ 34",32.1,21.0,169.2,165.5,3.7,1.0,3585
"1 규모(5 ~ 9인)","대졸이상","남","35 ~ 39",37.0,21.3,172.4,168.2,4.2,1.2,4239
"1 규모(5 ~ 9인)","대졸이상","남","40 ~ 44",42.0,21.1,171.5,168.4,3.0,0.8,4430
"1 규모(5 ~ 9인)","대졸이상","남","45 ~ 49",47.0,21.2,169.3,167.4,1.9,0.5,4889
"1 규모(5 ~ 9인)","대졸이상","남","50 ~ 54",52.0,21.0,168.2,166.4,1.8,0.6,5282
"1 규모(5 ~ 9인)","대졸이상","남","55 ~ 59",56.8,21.0,168.4,166.5,1.9,0.5,5030
"1 규모(5 ~ 9인)","대졸이상","남","60세 ~",64.6,20.7,165.2,163.7,1.5,0.1,4817
"1 규모(5 ~ 9인)","대졸이상","여","20 ~ 24",23.5,20.7,158.1,155.8,2.2,0.8,2210
"1 규모(5 ~ 9인)","대졸이상","여","25 ~ 29",27.2,20.5,161.4,159.1,2.2,0.5,2667
"1 규모(5 ~ 9인)","대졸이상","여","30 ~ 34",31.8,20.8,162.6,160.4,2.2,0.4,2870
"1 규모(5 ~ 9인)","대졸이상","여","35 ~ 39",37.1,20.5,159.0,156.9,2.2,0.2,3125
"1 규모(5 ~ 9인)","대졸이상","여","40 ~ 44",42.0,20.9,159.2,157.6,1.5,0.6,3349
"1 규모(5 ~ 9인)","대졸이상","여","45 ~ 49",46.9,20.7,156.7,155.3,1.4,0.3,3168
"1 규모(5 ~ 9인)","대졸이상","여","50 ~ 54",51.8,20.7,156.2,155.1,1.1,0.4,3290
"1 규모(5 ~ 9인)","대졸이상","여","55 ~ 59",56.6,20.8,156.4,155.3,1.1,0.2,3405
"1 규모(5 ~ 9인)","대졸이상","여","60세 ~",63.9,20.2,151.4,150.2,1.2,0.1,3392
"2 규모 (10 ~ 29인)","고졸","전체","20 ~ 24",22.4,20.2,164.5,151.5,13.1,3.6,2290
"2 규모 (10 ~ 29인)","고졸","전체","25 ~ 29",27.0,21.3,180.4,163.9,16.5,4.1,2714
"2 규모 (10 ~ 29인)","고졸","전체","30 ~ 34",31.9,21.5,185.3,165.1,20.3,5.0,2948
"2 규모 (10 ~ 29인)","고졸","전체","35 ~ 39",37.1,21.6,180.7,164.7,15.9,4.2,3135
"2 규모 (10 ~ 29인)","고졸","전체","40 ~ 44",42.0,21.3,176.9,164.0,13.0,3.8,3306
"2 규모 (10 ~ 29인)","고졸","전체","45 ~ 49",47.1,21.4,175.3,164.2,11.2,3.2,3463
"2 규모 (10 ~ 29인)","고졸","전체","50 ~ 54",52.1,21.4,173.5,163.3,10.2,2.8,3515
"2 규모 (10 ~ 29인)","고졸","전체","55 ~ 59",57.0,21.5,170.3,160.0,10.3,3.1,3129
"2 규모 (10 ~ 29인)","고졸","전체","60세 ~",65.1,20.8,159.9,154.2,5.7,1.9,2656
"2 규모 (10 ~ 29인)","고졸","남","20 ~ 24",22.6,20.7,174.7,156.5,18.2,5.3,2409
"2 규모 (10 ~ 29인)","고졸","남","25 ~ 29",27.1,21.4,185.6,164.8,20.8,5.1,2805
"2 규모 (10 ~ 29인)","고졸","남","30 ~ 34",31.9,21.6,190.7,166.1,24.6,6.2,3112
"2 규모 (10 ~ 29인)","고졸","남","35 ~ 39",37.0,21.8,187.2,168.2,19.0,5.0,3402
"2 규모 (10 ~ 29인)","고졸","남","40 ~ 44",42.0,21.6,184.8,168.2,16.6,5.1,3639
"2 규모 (10 ~ 29인)","고졸","남","45 ~ 49",47.1,21.5,181.2,167.0,14.2,4.2,3887
"2 규모 (10 ~ 29인)","고졸","남","50 ~ 54",52.0,21.4,180.3,167.8,12.6,3.2,4022
"2 규모 (10 ~ 29인)","고졸","남","55 ~ 59",57.0,21.5,181.0,167.6,13.3,4.0,3859
"2 규모 (10 ~ 29인)","고졸","남","60세 ~",65.4,20.7,175.5,168.0,7.5,2.5,3168
"2 규모 (10 ~ 29인)","고졸","여","20 ~ 24",22.2,19.4,149.6,144.1,5.5,1.0,2117
"2 규모 (10 ~ 29인)","고졸","여","25 ~ 29",26.9,21.1,168.1,161.6,6.5,1.7,2502
"2 규모 (10 ~ 29인)","고졸","여","30 ~ 34",31.9,21.3,171.3,162.3,9.0,2.1,2524
"2 규모 (10 ~ 29인)","고졸","여","35 ~ 39",37.2,21.1,165.8,156.8,8.9,2.2,2524
"2 규모 (10 ~ 29인)","고졸","여","40 ~ 44",42.2,20.9,163.6,156.8,6.9,1.6,2745
"2 규모 (10 ~ 29인)","고졸","여","45 ~ 49",47.2,21.2,167.9,160.5,7.4,1.8,2924
"2 규모 (10 ~ 29인)","고졸","여","50 ~ 54",52.1,21.4,165.3,157.9,7.4,2.2,2914
"2 규모 (10 ~ 29인)","고졸","여","55 ~ 59",57.0,21.4,159.8,152.5,7.3,2.2,2417
"2 규모 (10 ~ 29인)","고졸","여","60세 ~",64.7,21.0,138.0,134.8,3.2,0.9,1932
"2 규모 (10 ~ 29인)","전문대졸","전체","20 ~ 24",22.7,20.3,159.4,153.4,5.9,1.1,2226
"2 규모 (10 ~ 29인)","전문대졸","전체","25 ~ 29",27.1,21.2,173.1,165.6,7.4,1.3,2739
"2 규모 (10 ~ 29인)","전문대졸","전체","30 ~ 34",31.9,21.1,173.9,164.7,9.2,1.8,3095
"2 규모 (10 ~ 29인)","전문대졸","전체","35 ~ 39",37.0,21.2,171.2,163.7,7.5,2.0,3390
"2 규모 (10 ~ 29인)","전문대졸","전체","40 ~ 44",42.0,21.2,171.3,163.2,8.1,2.2,3639
"2 규모 (10 ~ 29인)","전문대졸","전체","45 ~ 49",47.0,21.1,168.8,161.9,6.9,1.7,3739
"2 규모 (10 ~ 29인)","전문대졸","전체","50 ~ 54",51.9,21.1,168.6,161.9,6.7,1.7,3985
"2 규모 (10 ~ 29인)","전문대졸","전체","55 ~ 59",56.7,20.9,164.0,156.8,7.1,1.9,3883
"2 규모 (10 ~ 29인)","전문대졸","전체","60세 ~",64.4,21.0,165.0,160.7,4.3,1.2,3268
"2 규모 (10 ~ 29인)","전문대졸","남","20 ~ 24",23.2,21.1,173.0,163.3,9.7,2.9,2529
"2 규모 (10 ~ 29인)","전문대졸","남","25 ~ 29",27.1,21.2,177.3,166.6,10.7,2.1,2967
